source_text,translated_text,context
Maximum Consecutive Leaves Allowed,Số ngày phép liên tiếp tối đa được phép,
Maximum Consecutive Leaves Exceeded,Vượt quá số ngày phép liên tiếp tối đa,
Maximum Encashable Leaves,Số ngày phép quy đổi thành tiền tối đa,
Maximum encashable leaves for {0} are {1},Số ngày phép tối đa có thể quy đổi thành tiền cho {0} là {1},
Maximum Exempted Amount,Số tiền được miễn trừ tối đa,
Maximum Exemption Amount,Mức miễn trừ tối đa,
Maximum Leave Allocation Allowed per Leave Period,Phân bổ nghỉ phép tối đa cho phép mỗi Kỳ nghỉ phép,
Maximum leave allowed in the leave type {0} is {1},Số ngày phép tối đa cho Loại nghỉ phép {0} là {1},
Maximum Overtime Hours Allowed,Số giờ tăng ca tối đa được phép,
Maximum Overtime Hours Allowed Per Day,Số giờ tăng ca tối đa được phép mỗi ngày,
May,Tháng 5,
Meal Preference,Sở thích ăn uống,
Medical,Y tế,
MICR,MICR,
Mileage,Quãng đường,
Min Taxable Income,Thu nhập chịu thuế tối thiểu,
Minimum working days required since Date of Joining to apply for this leave,Số ngày làm việc tối thiểu kể từ Ngày vào làm để được xin loại nghỉ phép này,
Minimum Year for Gratuity,Số năm tối thiểu để hưởng trợ cấp,
Missing Advance Account,Thiếu tài khoản tạm ứng,
Missing Mandatory Field,Thiếu trường bắt buộc,
Missing Opening Entries,Thiếu bút toán đầu kỳ,
Missing Relieving Date,Thiếu Ngày nghỉ việc,
Missing Salary Components,Thiếu thành phần lương,
Missing Tax Slab,Thiếu Bậc thuế,
Mode of payment is required to make a payment,Hình thức thanh toán là bắt buộc để thực hiện thanh toán,
Mode of Travel,Phương tiện di chuyển,
modify_half_day_status,Chỉnh sửa trạng thái nửa ngày,
Month To Date,Luỹ kế từ đầu tháng,
Month To Date(Company Currency),Luỹ kế từ đầu tháng (Tệ CT),
More than one selection for {0} not allowed,Không được chọn nhiều hơn một {0},
Multiple Additional Salaries with overwrite property exist for Salary Component {0} between {1} and {2}.,Có nhiều Lương bổ sung với thuộc tính ghi đè cho Thành phần lương {0} từ {1} đến {2}.,
Multiple Shift Assignments,Nhiều phân công ca,
Multipliers that adjust the hourly overtime amount for specific scenarios,Hệ số điều chỉnh số tiền tăng ca theo giờ cho các tình huống cụ thể,
My Advances,Tạm ứng của tôi,
My Claims,Yêu cầu hoàn chi phí của tôi,
My Leaves,Nghỉ phép của tôi,
My Requests,Yêu cầu của tôi,
Name error,Lỗi tên,
Name of Organizer,Tên người tổ chức,
Net Pay,Lương thực lĩnh,
Net Pay (Company Currency),Lương thực lĩnh (Tệ CT),
Net Pay cannot be less than 0,Lương thực lĩnh không thể nhỏ hơn 0,
Net pay cannot be negative,Lương thực lĩnh không thể âm,
Net Pay Info,Thông tin lương thực lĩnh,
Net Salary Amount,Số tiền lương thực lĩnh,
New Employee ID,Mã nhân viên mới,
New Expense Item,Khoản chi phí mới,
New Expense Tax,Thuế chi phí mới,
New Feedback,Phản hồi mới,
New Hires (This Month),Nhân viên mới (Tháng này),
New Leave(s) Allocated,Số ngày phép mới được phân bổ,
New Leaves Allocated,Số ngày phép mới được phân bổ,
New Leaves Allocated (In Days),Số ngày phép mới được phân bổ (theo ngày),
New shift assignments will be created after this date.,Các phân công ca mới sẽ được tạo sau ngày này.,
No {0} added,Chưa thêm {0},
No {0} Selected,Chưa chọn {0} nào,
No active employee found associated with the email ID {0}. Try logging in with your employee email ID or contact your HR manager for access.,Không tìm thấy nhân viên đang hoạt động liên kết với email {0}. Hãy thử đăng nhập bằng email nhân viên của bạn hoặc liên hệ Quản lý nhân sự để được cấp quyền.,
No active or default Salary Structure found for employee {0} for the given dates,Không tìm thấy Cơ cấu lương đang hoạt động hoặc mặc định cho nhân viên {0} trong các ngày đã cho,
No active Salary Structure Assignment found for employee {0} with salary structure {1} on or after arrear start date {2},Không tìm thấy Phân công cơ cấu lương đang hoạt động cho nhân viên {0} với cơ cấu lương {1} vào hoặc sau ngày bắt đầu truy lĩnh {2},
No additional expenses has been added,Chưa thêm chi phí bổ sung nào,
No advances found,Không tìm thấy tạm ứng,
No applicable Earning component found in last salary slip for Gratuity Rule: {0},Không tìm thấy Thành phần thu nhập phù hợp trong phiếu lương cuối cho Quy tắc trợ cấp thôi việc: {0},
No applicable Earning components found for Gratuity Rule: {0},Không tìm thấy Thành phần thu nhập phù hợp cho Quy tắc trợ cấp thôi việc: {0},
No applicable slab found for the calculation of gratuity amount as per the Gratuity Rule: {0},Không tìm thấy bậc phù hợp để tính số tiền trợ cấp thôi việc theo Quy tắc trợ cấp thôi việc: {0},
No arrear components found in the existing salary slips.,Không tìm thấy thành phần truy lĩnh trong các phiếu lương hiện có.,
No arrear components found in the salary slip. Ensure Arrear Component is checked in the Salary Component master.,Không tìm thấy thành phần truy lĩnh trong phiếu lương. Hãy đảm bảo Thành phần truy lĩnh được chọn trong danh mục Thành phần lương.,
No arrear details found,Không tìm thấy chi tiết truy lĩnh,
No attendance records found for employee {0} between {1} and {2},Không tìm thấy bản ghi chấm công cho nhân viên {0} từ {1} đến {2},
No attendance records found for this criteria.,Không tìm thấy bản ghi chấm công cho tiêu chí này.,
No attendance records found.,Không tìm thấy bản ghi chấm công.,
No attendance records to create,Không có bản ghi chấm công nào để tạo,
No attendance records to create due to following reasons,Không có bản ghi chấm công nào để tạo do các lý do sau,
No Bank/Cash Account found for currency {0}. Please create one under company {1}.,Không tìm thấy Tài khoản Ngân hàng/Tiền mặt cho tiền tệ {0}. Vui lòng tạo trong công ty {1}.,
No changes found in timings.,Không có thay đổi về giờ giấc.,
No Employee Found,Không tìm thấy nhân viên,
No Employee found for the given employee field value. '{}': {},Không tìm thấy nhân viên với giá trị trường nhân viên đã cho. '{}': {},
No employees found,Không tìm thấy nhân viên,
No employees found for the mentioned criteria:<br>Company: {0}<br> Currency: {1}<br>Payroll Payable Account: {2},Không tìm thấy nhân viên nào theo tiêu chí đã nêu:<br>Công ty: {0}<br> Tiền tệ: {1}<br>Tài khoản phải trả lương: {2},
No employees found for the selected criteria,Không tìm thấy nhân viên với tiêu chí đã chọn,
No employees found with selected filters and active salary structure,Không tìm thấy nhân viên với bộ lọc đã chọn và cơ cấu lương đang hoạt động,
No Employees Selected,Chưa chọn nhân viên,
No expenses added,Chưa thêm chi phí,
No feedback has been received yet,Chưa nhận được phản hồi nào,
No Holiday List was found for Employee {0} or their company {1} for date {2}. Please assign through {3},Không tìm thấy Danh sách nghỉ lễ cho Nhân viên {0} hoặc công ty {1} cho ngày {2}. Vui lòng phân công qua {3},
No Interview has been scheduled.,Chưa có buổi phỏng vấn nào được lên lịch.,
No items selected,Chưa chọn mục nào,
No leave allocation found for {0} for {1} on given date.,Không tìm thấy phân bổ nghỉ phép cho {0} cho {1} vào ngày đã cho.,
No Leave Period Found,Không tìm thấy Kỳ nghỉ phép,
No leave record found for employee {0} on {1},Không tìm thấy bản ghi nghỉ phép cho nhân viên {0} vào {1},
No Leaves Allocated to Employee: {0} for Leave Type: {1},Chưa có nghỉ phép phân bổ cho Nhân viên: {0} cho Loại nghỉ phép: {1},
No leaves have been allocated.,Chưa có ngày phép nào được phân bổ.,
No login methods are available. Please contact your administrator.,Không có phương thức đăng nhập khả dụng. Vui lòng liên hệ Quản trị viên.,
No more updates,Không còn cập nhật,
No of. Positions,Số vị trí,
No replies from,Không có phản hồi từ,
No Salary Slip found for Employee: {0},Không tìm thấy phiếu lương cho Nhân viên: {0},
No salary slip found to submit for the above selected criteria OR salary slip already submitted,Không tìm thấy phiếu lương để nộp theo tiêu chí đã chọn ở trên hoặc phiếu lương đã được nộp,
No salary slips found,Không tìm thấy phiếu lương,
No salary slips found for the selected employee from {0},Không tìm thấy phiếu lương cho nhân viên đã chọn từ {0},
No Salary Slips with {0} found for employee {1} for payroll period {2}.,Không tìm thấy Phiếu lương có {0} cho nhân viên {1} trong Kỳ tính lương {2}.,
No Salary Structure assigned to Employee {0} on the given date {1},Chưa phân công Cơ cấu lương cho nhân viên {0} vào ngày {1},
No Salary Structure Assignment found for employee {0} on date {1},Không tìm thấy Phân công cơ cấu lương cho nhân viên {0} vào ngày {1},
No Salary Structure Assignment found for employee {0} on or before {1},Không tìm thấy Phân công cơ cấu lương cho nhân viên {0} vào hoặc trước {1},
No Salary Structures,Không có Cơ cấu lương,
No Shift Requests Selected,Chưa chọn yêu cầu ca nào,
No Staffing Plans found for this Designation,Không tìm thấy kế hoạch nhân sự cho chức danh này,
No taxes added,Chưa thêm thuế,
No valid shift found for log time,Không tìm thấy ca hợp lệ cho thời gian ghi nhận,
Non Diary,Không kiêng sữa,
Non Taxable Earnings,Thu nhập không chịu thuế,
Non-Billed Hours,Giờ không tính phí,
Non-Billed Hours (NB),Giờ không tính phí (NB),
Non-Encashable Leaves,Ngày phép không quy đổi tiền,
Non-Vegetarian,Không ăn chay,
Note: Shift will not be overwritten in existing attendance records,Lưu ý: Ca làm việc sẽ không bị ghi đè trong các bản ghi chấm công hiện có,
Note: Total allocated leaves {0} shouldn't be less than already approved leaves {1} for the period,Lưu ý: Tổng ngày phép phân bổ {0} không được nhỏ hơn số ngày phép đã duyệt {1} cho kỳ này,
"Note: Your salary slip is password protected, the password to unlock the PDF is of the format {0}.","Lưu ý: Phiếu lương của bạn được bảo vệ bằng mật khẩu, mật khẩu mở PDF có định dạng {0}.",
Nothing to change,Không có gì để thay đổi,
Notice Period,Thời gian báo trước,
Notification Template,Mẫu thông báo,
Notify users by email,Thông báo cho người dùng qua email,
Nov,Tháng 11,
Number Of Employees,Số lượng nhân viên,
Number of Leaves,Số ngày phép,
Number of leaves eligible for encashment based on leave type settings,Số ngày phép đủ điều kiện quy đổi tiền theo cài đặt loại nghỉ phép,
Number Of Positions,Số lượng vị trí,
Number of Withholding Cycles,Số chu kỳ giữ lại lương,
Obtained Average Rating,Điểm trung bình đạt được,
Oct,Tháng 10,
Odometer Reading,Số km đồng hồ xe,
Odometer Value,Giá trị đồng hồ km,
Off-shift,Ngoài ca,
Off-Shift,Ngoài ca,
Offer Term,Điều khoản đề nghị,
Offer Terms,Điều khoản đề nghị,
On Date,Vào ngày,
On Duty,Đang làm việc,
On Leave,Nghỉ phép,
Onboarding,Hội nhập nhân viên,
Onboarding Activities,Hoạt động hội nhập,
Onboarding Begins On,Hội nhập bắt đầu từ,
Only {0} Goals can be {1},Chỉ {0} mục tiêu có thể là {1},
Only Approvers can Approve this Request.,Chỉ người phê duyệt mới có thể duyệt yêu cầu này.,
Only Completed documents can be submitted,Chỉ tài liệu đã hoàn thành mới có thể nộp,
Only Employee Grievance with status {0} or {1} can be submitted,Chỉ Khiếu nại nhân viên có trạng thái {0} hoặc {1} mới có thể nộp,
Only expired allocation can be cancelled,Chỉ có thể huỷ phân bổ đã hết hạn,
Only Interviewer Are allowed to submit Interview Feedback,Chỉ người phỏng vấn được phép nộp phản hồi phỏng vấn,
Only interviewers can submit feedback,Chỉ người phỏng vấn mới có thể nộp phản hồi,
Only Interviews with Cleared or Rejected status can be submitted.,Chỉ buổi phỏng vấn có trạng thái Đạt hoặc Không đạt mới có thể nộp.,
Only Leave Applications with status 'Approved' and 'Rejected' can be submitted,Chỉ Đơn xin nghỉ phép có trạng thái 'Đã duyệt' và 'Đã từ chối' mới có thể nộp,
Only Shift Request with status 'Approved' and 'Rejected' can be submitted,Chỉ Yêu cầu ca có trạng thái 'Đã duyệt' và 'Đã từ chối' mới có thể nộp,
Only users with the {0} role can create backdated leave applications,Chỉ người dùng có vai trò {0} mới có thể tạo đơn xin nghỉ phép hồi tố,
Open & Approved,Đang mở & đã duyệt,
Open Feedback,Mở phản hồi,
Open Now,Mở ngay,
Open Resume in New Tab,Mở CV trong tab mới,
Opening closed.,Vị trí đã đóng.,
Optional Holiday List not set for leave period {0},Chưa đặt Danh sách ngày lễ tuỳ chọn cho kỳ nghỉ phép {0},
Optional Leaves are holidays that Employees can choose to avail from a list of holidays published by the company.,Nghỉ phép tuỳ chọn là các ngày lễ mà nhân viên có thể chọn từ danh sách ngày lễ do công ty công bố.,
or for the Employee's Department: {0},Hoặc cho phòng ban của nhân viên: {0},
Organizational Chart,Sơ đồ tổ chức,
Other Taxes and Charges,Thuế và phí khác,
OTP Code,Mã OTP,
OTP Verification,Xác thực OTP,
OUT,Ra,
Out Time,Giờ ra,
Outgoing Salary,Lương nghỉ việc,
Over Allocation,Phân bổ vượt mức,
Overall Average Rating,Điểm trung bình tổng thể,
Overlapping Attendance Request,Yêu cầu chấm công chồng chéo,
Overlapping Shift Attendance,Chấm công ca bị chồng lấp,
Overlapping Shift Requests,Yêu cầu ca bị chồng lấp,
Overlapping Shifts,Ca làm việc bị trùng,
Overtime,Tăng ca,
Overtime Amount Calculation,Cách tính tiền tăng ca,
Overtime Details,Chi tiết tăng ca,
Overtime Duration,Thời gian tăng ca,
Overtime Duration for {0} is greater than Maximum Overtime Hours Allowed,Thời gian tăng ca cho {0} lớn hơn số giờ tăng ca tối đa được phép,
Overtime earnings will be booked under this salary component for payout.,Thu nhập tăng ca sẽ hạch toán vào thành phần lương này để chi trả.,
Overtime Salary Component,Thành phần lương tăng ca,
Overtime Slip,Phiếu tăng ca,
Overtime Slip created for {0} employee(s),Đã tạo phiếu tăng ca cho {0} nhân viên,
Overtime Slip Creation Error for {0},Lỗi tạo phiếu tăng ca cho {0},
Overtime Slip Creation Failed,Tạo phiếu tăng ca thất bại,
Overtime Slip creation is queued. It may take a few minutes,Đã xếp hàng tạo phiếu tăng ca. Có thể mất vài phút,
Overtime Slip Step,Bước phiếu tăng ca,
Overtime Slip Submission Error for {0},Lỗi nộp phiếu tăng ca cho {0},
Overtime Slip Submission Failed,Nộp phiếu tăng ca thất bại,
Overtime Slip submission is queued. It may take a few minutes,Đã xếp hàng nộp phiếu tăng ca. Có thể mất vài phút,
Overtime Slip Submitted,Đã nộp phiếu tăng ca,
Overtime Slip:{0} has been created between {1} and {2},Phiếu tăng ca: {0} đã tạo trong khoảng từ {1} đến {2},
Overtime Slips Created,Đã tạo phiếu tăng ca,
Overtime Slips submitted for {0} employee(s),Đã nộp phiếu tăng ca cho {0} nhân viên,
Overtime Type,Loại tăng ca,
Overwrite Salary Structure Amount,Ghi đè số tiền cấu trúc lương,
Overwrite Salary Structure Amount is disabled as the Salary Component: {0} not part of the Salary Structure: {1},Ghi đè số tiền cấu trúc lương bị tắt vì Thành phần lương: {0} không thuộc Cấu trúc lương: {1},
Paid via Salary Slip,Trả qua phiếu lương,
PAN Number,Số PAN,
Parent Goal,Mục tiêu cha,
Part-time,Bán thời gian,
"Partially Sponsored, Require Partial Funding","Tài trợ một phần, cần kinh phí một phần",
Partly Claimed and Returned,Đã quyết toán một phần và hoàn trả,
Password Policy,Chính sách mật khẩu,
Password policy cannot contain spaces or simultaneous hyphens. The format will be restructured automatically,Chính sách mật khẩu không được chứa dấu cách hoặc dấu gạch ngang liên tiếp. Định dạng sẽ được tự động cấu trúc lại,
Password policy for Salary Slips is not set,Chưa thiết lập chính sách mật khẩu cho phiếu lương,
Pay Details,Chi tiết lương,
Pay Rate Multipliers,Hệ số đơn giá,
Pay Via Payment Entry,Thanh toán qua Bút toán thanh toán,
Pay via Salary Slip,Thanh toán qua phiếu lương,
Payable Account is mandatory to submit an Expense Claim,Tài khoản phải trả là bắt buộc để nộp Yêu cầu chi phí,
Payment Account is mandatory,Tài khoản thanh toán là bắt buộc,
Payment and Accounting,Thanh toán và Kế toán,
Payment Date,Ngày thanh toán,
Payment Days,Ngày công,
Payment Days Calculation Help,Hướng dẫn tính ngày công,
Payment Days calculations are based on these Payroll Settings,Tính toán ngày công dựa trên các Cài đặt bảng lương này,
Payment Days Dependency,Phụ thuộc ngày công,
Payment of {0} from {1} to {2},Thanh toán {0} từ {1} đến {2},
Payout,Chi trả,
Payout Method,Phương thức chi trả,
Payout Unclaimed Amount in Final Payroll Cycle,Chi trả số tiền chưa nhận trong kỳ lương cuối,
Payroll Based On,Bảng lương theo,
Payroll Correction,Điều chỉnh bảng lương,
Payroll Correction Child,Dòng điều chỉnh bảng lương,
Payroll Cost Centers,Trung tâm chi phí bảng lương,
Payroll Dashboard,Bảng điều khiển bảng lương,
Payroll Date,Ngày tính lương,
Payroll date can not be greater than employee's relieving date.,Ngày tính lương không thể lớn hơn ngày nghỉ việc của nhân viên.,
Payroll date can not be less than employee's joining date.,Ngày tính lương không thể nhỏ hơn ngày vào làm của nhân viên.,
Payroll date cannot be in the past. This is to ensure that claims are made for the current or future payroll cycles.,Ngày tính lương không thể là ngày trong quá khứ. Điều này để đảm bảo các yêu cầu được thực hiện cho kỳ lương hiện tại hoặc tương lai.,
Payroll date is mandatory for non-recurring type additional salaries.,Ngày tính lương là bắt buộc cho lương bổ sung loại không định kỳ.,
Payroll Employee Detail,Chi tiết nhân viên bảng lương,
Payroll Entry cancellation is queued. It may take a few minutes,Đã xếp hàng huỷ Bút toán bảng lương. Có thể mất vài phút,
Payroll Frequency,Tần suất tính lương,
Payroll Info,Thông tin bảng lương,
Payroll Number,Số bảng lương,
Payroll Payable Account,Tài khoản phải trả lương,
Payroll Period,Kỳ lương,
Payroll Period Date,Ngày kỳ lương,
Payroll Periods,Các kỳ lương,
Payroll Reports,Báo cáo bảng lương,
Payroll Settings,Cài đặt bảng lương,
Pending (unpaid) amount from previous advances,Số tiền chưa trả từ các tạm ứng trước,
Pending Asset Returns,Tài sản chờ hoàn trả,
Pending FnF,FnF chờ xử lý,
Pending Interviews,Phỏng vấn đang chờ,
Pending Questionnaires,Bảng câu hỏi chờ xử lý,
Percent Deduction,% khấu trừ,
Performance,Hiệu suất,
Permanently cancel {0},Huỷ vĩnh viễn {0},
Permanently submit {0},Nộp vĩnh viễn {0},
PF Account,Tài khoản PF,
PF Amount,Số tiền PF,
PF Loan,Vay PF,
Piecework,Khoán sản phẩm,
Planned number of Positions,Số vị trí kế hoạch,
Please assign a Salary Structure for Employee {0} applicable from or before {1} first,Vui lòng gán Cấu trúc lương cho nhân viên {0} áp dụng từ hoặc trước {1},
Please check if employee is on leave or attendance with the same status exists for selected day(s).,Vui lòng kiểm tra xem nhân viên đang nghỉ phép hay đã có bản ghi chấm công cùng trạng thái cho ngày đã chọn.,
Please confirm once you have completed your training,Vui lòng xác nhận khi bạn đã hoàn thành khoá đào tạo,
Please create a new {0} for the date {1} first.,Vui lòng tạo {0} mới cho ngày {1} trước.,
Please delete the Employee {0} to cancel this document,Vui lòng xoá nhân viên {0} để huỷ tài liệu này,
Please Enable Auto Attendance and complete the setup first.,Vui lòng bật Chấm công tự động và hoàn tất thiết lập trước.,
Please enable default incoming account before creating Daily Work Summary Group,Vui lòng bật tài khoản nhận mặc định trước khi tạo Nhóm tóm tắt công việc hàng ngày,
Please enter the designation,Vui lòng nhập chức danh,
"Please fill in Employee, Posting Date, and Company before fetching overtime details.","Vui lòng điền Nhân viên, Ngày hạch toán và Công ty trước khi lấy chi tiết tăng ca.",
Please reduce {0} to avoid shift time overlapping with itself,Vui lòng giảm {0} để tránh thời gian ca bị chồng chéo với chính nó,
Please see attachment,Vui lòng xem tệp đính kèm,
Please select a company first,Vui lòng chọn công ty trước,
Please select a company first.,Vui lòng chọn công ty trước.,
Please select a csv file,Vui lòng chọn tệp CSV,
Please select a date.,Vui lòng chọn ngày.,
Please select an Applicant,Vui lòng chọn ứng viên,
Please select at least one employee to perform this action.,Vui lòng chọn ít nhất một nhân viên để thực hiện thao tác này.,
Please select at least one row to perform this action.,Vui lòng chọn ít nhất một dòng để thực hiện thao tác này.,
Please select at least one Shift Request to perform this action.,Vui lòng chọn ít nhất một Yêu cầu ca làm việc để thực hiện thao tác này.,
Please select Company and Designation,Vui lòng chọn công ty và chức danh,
Please Select Company First,Vui lòng chọn công ty trước,
Please select company.,Vui lòng chọn công ty.,
Please select Employee,Vui lòng chọn nhân viên,
Please select employee first,Vui lòng chọn nhân viên trước,
Please select Employee first.,Vui lòng chọn nhân viên trước.,
Please select employees to create appraisals for,Vui lòng chọn nhân viên để tạo đánh giá,
Please select Filter Based On,Vui lòng chọn lọc theo,
Please select From Date and Payroll Frequency first,Vui lòng chọn Từ ngày và Tần suất bảng lương trước,
Please select From Date.,Vui lòng chọn Từ ngày.,
Please select half day attendance status.,Vui lòng chọn trạng thái chấm công nửa ngày.,
Please select month and year.,Vui lòng chọn tháng và năm.,
Please select Shift Schedule and assignment date(s).,Vui lòng chọn Lịch ca và (các) ngày phân công.,
Please select Shift Type and assignment date(s).,Vui lòng chọn Loại ca và (các) ngày phân công.,
Please select the Appraisal Cycle first.,Vui lòng chọn Chu kỳ đánh giá trước.,
Please select the attendance status.,Vui lòng chọn trạng thái chấm công.,
Please select the employees you want to mark attendance for.,Vui lòng chọn các nhân viên bạn muốn chấm công.,
Please select the salary slips to email,Vui lòng chọn các phiếu lương để gửi email,
"Please set ""Default Payroll Payable Account"" in Company Defaults","Vui lòng đặt ""Tài khoản phải trả lương mặc định"" trong Mặc định công ty",
Please set {0} and {1} in {2}.,Vui lòng thiết lập {0} và {1} trong {2}.,
Please set {0} for Employee {1},Vui lòng thiết lập {0} cho nhân viên {1},
Please set {0} for the Employee: {1},Vui lòng thiết lập {0} cho nhân viên: {1},
Please set {0}.,Vui lòng đặt {0}.,
Please set a date range less than 90 days.,Vui lòng đặt khoảng thời gian nhỏ hơn 90 ngày.,
Please set account in Salary Component {0},Vui lòng thiết lập tài khoản trong Thành phần lương {0},
Please set Basic and HRA component in Company {0},Vui lòng đặt thành phần Lương cơ bản và HRA trong công ty {0},
Please set default template for Leave Approval Notification in HR Settings.,Vui lòng đặt mẫu mặc định cho Thông báo phê duyệt nghỉ phép trong Cài đặt HR.,
Please set default template for Leave Status Notification in HR Settings.,Vui lòng đặt mẫu mặc định cho Thông báo trạng thái nghỉ phép trong Cài đặt HR.,
Please set Earning Component for Leave type: {0}.,Vui lòng đặt Thành phần thu nhập cho loại nghỉ phép: {0}.,
Please set Payroll based on in Payroll settings,Vui lòng thiết lập 'Bảng lương theo' trong Cài đặt bảng lương,
Please set Relieving Date for employee: {0},Vui lòng thiết lập ngày nghỉ việc cho nhân viên: {0},
Please set the Advance Account {0} or in {1},Vui lòng thiết lập Tài khoản tạm ứng {0} hoặc trong {1},
Please set the Appraisal Template for all the {0} or select the template in the Employees table below.,Vui lòng đặt Mẫu đánh giá cho tất cả {0} hoặc chọn mẫu trong bảng Nhân viên bên dưới.,
Please set the Company,Vui lòng đặt Công ty,
Please set the Date Of Joining for employee {0},Vui lòng đặt Ngày vào làm cho nhân viên {0},
Please set the date range.,Vui lòng đặt khoảng thời gian.,
Please set the Holiday List.,Vui lòng đặt Danh sách ngày lễ.,
Please set the relieving date for employee {0},Vui lòng đặt ngày nghỉ việc cho nhân viên {0},
Please setup Employee Naming System in Human Resource > HR Settings,Vui lòng thiết lập Hệ thống đặt tên nhân viên trong Nhân sự > Cài đặt HR,
Please setup numbering series for Attendance via Setup > Numbering Series,Vui lòng thiết lập Dãy số cho Chấm công qua Thiết lập > Dãy số,
Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',Vui lòng chia sẻ phản hồi về buổi đào tạo bằng cách nhấp 'Phản hồi đào tạo' rồi 'Mới',
"Please specify {0} and {1} (if any), for the correct tax calculation in future salary slips.",Vui lòng chỉ định {0} và {1} (nếu có) để tính thuế chính xác trong các phiếu lương sau này.,
Please specify the job applicant to be updated.,Vui lòng chỉ định ứng viên cần cập nhật.,
Please submit the {0} before marking the cycle as Completed,Vui lòng nộp {0} trước khi đánh dấu chu kỳ là Hoàn thành,
Please update your status for this training event,Vui lòng cập nhật trạng thái của bạn cho sự kiện đào tạo này,
Posted On,Đăng ngày,
Posting date,Ngày hạch toán,
Preferred Area for Lodging,Khu vực lưu trú ưu tiên,
Present,Có mặt,
Present Records,Bản ghi có mặt,
Prevent self approval for expense claims even if user has permissions,Ngăn tự phê duyệt yêu cầu chi phí ngay cả khi người dùng có quyền,
Prevent self approval for leaves even if user has permissions,Ngăn tự phê duyệt nghỉ phép ngay cả khi người dùng có quyền,
Preview Salary Slip,Xem trước phiếu lương,
Principal Amount,Số tiền gốc,
Printed On {0},In ngày {0},
Privilege Leave,Nghỉ phép ưu tiên,
Probation,Thử việc,
Probationary Period,Thời gian thử việc,
process,Xử lý,
Process {0} Shift Request(s) as <b>{1}</b>?,Xử lý {0} Yêu cầu ca thành <b>{1}</b>?,
Process Attendance After,Xử lý chấm công sau,
Process leave encashment via a separate Payment Entry instead of Salary Slip,Xử lý quy đổi nghỉ phép qua Bút toán thanh toán riêng thay vì Phiếu lương,
Process Payroll Accounting Entry based on Employee,Xử lý Bút toán kế toán bảng lương theo nhân viên,
Process Requests,Xử lý yêu cầu,
Process Shift Requests,Xử lý yêu cầu ca,
processed,Đã xử lý,
Processing of Shift Requests has been queued. It may take a few minutes.,Đã xếp hàng xử lý Yêu cầu ca làm việc. Có thể mất vài phút.,
Processing Requests,Đang xử lý yêu cầu,
Processing Requests...,Đang xử lý yêu cầu...,
Proficiency,Năng lực,
Profit,Lợi nhuận,
Promotion,Thăng chức,
Promotion Date,Ngày thăng chức,
Property already added,Thuộc tính đã được thêm,
Public Holiday Multiplier,Hệ số ngày lễ,
Publish Applications Received,Đăng đơn ứng tuyển đã nhận,
Publish on website,Đăng lên website,
Publish Salary Range,Công bố khoảng lương,
Purpose & Amount,Mục đích & số tiền,
Purpose of Travel,Mục đích công tác,
Push Notification permission denied,Quyền thông báo đẩy bị từ chối,
Push notifications disabled,Đã tắt thông báo đẩy,
Push notifications have been disabled on your site,Thông báo đẩy đã bị tắt trên trang web của bạn,
PWA Notification,Thông báo PWA,
Questionnaire Email Sent,Đã gửi email bảng câu hỏi,
Quick Filters,Bộ lọc nhanh,
Quick Links,Liên kết nhanh,
Radius within which check-in is allowed (in meters),Bán kính được phép chấm công (mét),
Rate Goals Manually,Chấm điểm mục tiêu thủ công,
Rating Criteria,Tiêu chí đánh giá,
Ratings,Điểm đánh giá,
Re-allocate Leaves,Phân bổ lại ngày phép,
reason,Lý do,
Reason for Adjustment,Lý do điều chỉnh,
Reason for Requesting,Lý do yêu cầu,
Reason for skipping auto attendance:,Lý do bỏ qua chấm công tự động:,
Reason for Withholding Salary,Lý do giữ lại lương,
Recent Attendance Requests,Yêu cầu chấm công gần đây,
Recent Expenses,Chi phí gần đây,
Recent Leaves,Nghỉ phép gần đây,
Recent Shift Requests,Yêu cầu ca gần đây,
Recommended for a single biometric device / checkins via mobile app,Khuyến nghị cho một thiết bị sinh trắc học / chấm công qua ứng dụng di động,
Recover Cost,Thu hồi chi phí,
Recruitment,Tuyển dụng,
Reduce,Giảm,
Reducing maximum leaves allowed after allocation may cause scheduler to allocate incorrect number of earned leaves. Proceed with caution.,Giảm số ngày phép tối đa được phép sau khi phân bổ có thể khiến bộ lập lịch phân bổ sai số ngày phép tích luỹ. Hãy thận trọng.,
Reduction is more than {0}'s available leave balance {1} for leave type {2},Mức giảm lớn hơn số dư phép khả dụng {1} của {0} cho loại nghỉ phép {2},
Reference: {0},Tham chiếu: {0},
Referral Bonus Payment Status,Trạng thái thanh toán thưởng giới thiệu,
Referral Details,Chi tiết giới thiệu,
Referrer Details,Chi tiết người giới thiệu,
Referrer Name,Tên người giới thiệu,
Reflections,Tự nhìn nhận,
Refuelling Details,Chi tiết đổ nhiên liệu,
Reject Employee Referral,Từ chối giới thiệu nhân viên,
Rejection,Từ chối,
Release Withheld Salaries,Giải toả lương bị giữ,
Released,Đã giải toả,
Relieving Date Missing,Thiếu ngày nghỉ việc,
Remaining Benefits (Yearly),Phúc lợi còn lại (Hàng năm),
Remind Before,Nhắc trước,
Reminded,Đã nhắc,
Reminders,Nhắc nhở,
Remove if Zero Valued,Bỏ nếu giá trị bằng 0,
Rented Car,Xe thuê,
